分类,问题,标准答案
发货物流,下单后多久发货？,现货商品通常在付款后 24 小时内发出（节假日顺延）。预售商品在商品详情页会标注预计发货时间，一般为 7-15 天，具体以页面说明为准。大促期间（如 618、双11）订单量较大，发货可能延迟 1-3 天，请您谅解。
发货物流,发什么快递？可以指定吗？,默认合作快递为顺丰 / 京东物流 / 中通，系统会根据收货地址自动选择最优快递。如需指定快递，请在订单备注中说明，我们会尽量满足；但部分偏远地区或指定快递需补差价，以客服确认为准。
发货物流,什么时候能收到货？,"一线城市一般 1-2 天送达，二三线城市 2-3 天，偏远地区（新疆、西藏、内蒙古等）约 4-7 天。具体时效以物流轨迹为准，发货后您会收到短信/APP 推送，可随时在""我的订单""中查看。"
发货物流,可以发到港澳台或海外吗？,暂不支持港澳台及海外地区直邮。如需购买，建议通过转运地址或联系我们的海外授权经销商。港澳台用户可前往官网国际站查询就近授权门店。
发货物流,发货后可以修改收货地址吗？,订单已打包出库后无法直接修改地址。请您先联系在线客服，我们会尝试联系快递拦截或转寄，转寄产生的运费需由您承担。建议下单时仔细核对地址，避免不必要的损失。
发货物流,没收到货 / 物流长时间不动怎么办？,请先在订单详情页查看物流轨迹：1）超过 48 小时未更新，可能是快递滞留，我们会催促物流；2）显示已签收但未收到，请先检查快递柜、门卫、邻居处；3）仍未找到，请联系客服并提供运单号，我们会协助向快递公司索赔。
发货物流,支持自提吗？,"支持全国 300+ 线下门店自提。下单时选择""到店自提""，付款后我们会通知备货，到货后凭取货码到店取货，一般备货时间 1-2 天。"
发货物流,预售产品什么时候发货？,"预售商品详情页会明确标注预计发货日期（如""付尾款后 7 天内发货""）。若超期未发，我们将按订单金额的 5% 给予补偿（优惠券形式），并优先为您催促发货。"
退换货,支持七天无理由退货吗？,支持。自签收次日起 7 天内，商品不影响二次销售的前提下，支持无理由退货。例外：定制类商品、已激活的手机/电脑（苹果/鸿蒙生态除外）、贴身用品（耳机耳塞）、密封包装已拆封的音像制品不支持七天无理由。
退换货,退换货运费谁承担？,质量问题（商品本身故障、瑕疵、发错货）：运费由我方承担，请您先垫付并保留快递面单，我们会在退款时一并返还。非质量问题（七天无理由、个人原因）：运费由买家承担；购买了运费险的订单，保险公司会按首重赔付。
